id,value
id_0,42.38791382815914
id_1,16.732405812083005
id_2,7.851653037287422
id_3,22.65290766194673
id_4,29.560159820121072
id_5,118.36768756807692
id_6,30.546910128431694
id_7,36.46741197829542
id_8,45.348164753091
id_9,19.692656737014868
id_10,25.61315858687859
id_11,44.36141444478038
id_12,45.348164753091
id_13,15.745655503772385
id_14,29.560159820121072
id_15,45.348164753091
id_16,38.44091259491666
id_17,57.18916845281845
id_18,23.63965797025735
id_19,12.785404578840524
id_20,33.50716105336355
id_21,32.520410745052935
id_22,56.202418144507824
id_23,52.25541691126534
id_24,22.65290766194673
id_25,12.785404578840524
id_26,47.32166536971224
id_27,37.454162286606035
id_28,64.09642061099278
id_29,17.719156120393627
id_30,19.692656737014868
id_31,47.32166536971224
id_32,39.42766290322728
id_33,23.63965797025735
id_34,54.22891752788659
id_35,44.36141444478038
id_36,16.732405812083005
id_37,52.25541691126534
id_38,26.599908895189213
id_39,3.904651804044939
id_40,29.560159820121072
id_41,8.838403345598042
id_42,49.29516598633348
id_43,29.560159820121072
id_44,52.25541691126534
id_45,43.37466413646976
id_46,39.42766290322728
id_47,25.61315858687859
id_48,26.599908895189213
id_49,63.10967030268217
id_50,25.61315858687859
id_51,46.334915061401624
id_52,23.63965797025735
id_53,32.520410745052935
id_54,20.67940704532549
id_55,36.46741197829542
id_56,42.38791382815914
id_57,26.599908895189213
id_58,26.599908895189213
id_59,12.785404578840524
id_60,61.13616968606093
id_61,93.6989298603114
id_62,37.454162286606035
id_63,26.599908895189213
id_64,16.732405812083005
id_65,35.4806616699848
id_66,44.36141444478038
id_67,12.785404578840524
id_68,52.25541691126534
id_69,9.825153653908663
id_70,17.719156120393627
id_71,19.692656737014868
id_72,32.520410745052935
id_73,17.719156120393627
id_74,51.268666602954724
id_75,69.03017215254589
id_76,3.904651804044939
id_77,38.44091259491666
id_78,77.91092492734147
id_79,42.38791382815914
id_80,55.215667836197206
id_81,22.65290766194673
id_82,14.758905195461764
id_83,34.49391136167417
id_84,13.772154887151144
id_85,14.758905195461764
id_86,32.520410745052935
id_87,96.65918078524327
id_88,31.533660436742313
id_89,53.24216721957597
id_90,16.732405812083005
id_91,67.05667153592465
id_92,59.16266906943969
id_93,10.811903962219283
id_94,23.63965797025735
id_95,26.599908895189213
id_96,26.599908895189213
id_97,3.904651804044939
id_98,16.732405812083005
id_99,37.454162286606035
id_100,23.63965797025735
id_101,48.30841567802286
id_102,35.4806616699848
id_103,34.49391136167417
id_104,35.4806616699848
id_105,32.520410745052935
id_106,21.66615735363611
id_107,41.40116351984852
id_108,10.811903962219283
id_109,75.93742431072023
id_110,33.50716105336355
id_111,72.97717338578836
id_112,23.63965797025735
id_113,31.533660436742313
id_114,27.58665920349983
id_115,37.454162286606035
id_116,41.40116351984852
id_117,24.626408278567972
id_118,32.520410745052935
id_119,47.32166536971224
id_120,28.573409511810453
id_121,37.454162286606035
id_122,70.0169224608565
id_123,7.851653037287422
id_124,34.49391136167417
id_125,7.851653037287422
id_126,36.46741197829542
id_127,19.692656737014868
id_128,30.546910128431694
id_129,51.268666602954724
id_130,8.838403345598042
id_131,54.22891752788659
id_132,25.61315858687859
id_133,9.825153653908663
id_134,22.65290766194673
id_135,35.4806616699848
id_136,67.05667153592465
id_137,96.65918078524327
id_138,26.599908895189213
id_139,60.149419377750306
id_140,83.8314267772052
id_141,18.705906428704246
id_142,50.281916294644105
id_143,34.49391136167417
id_144,35.4806616699848
id_145,14.758905195461764
id_146,34.49391136167417
id_147,45.348164753091
id_148,34.49391136167417
id_149,18.705906428704246
id_150,47.32166536971224
id_151,36.46741197829542
id_152,59.16266906943969
id_153,25.61315858687859
id_154,13.772154887151144
id_155,66.06992122761403
id_156,15.745655503772385
id_157,26.599908895189213
id_158,47.32166536971224
id_159,26.599908895189213
id_160,15.745655503772385
id_161,110.47368510159194
id_162,58.17591876112907
id_163,36.46741197829542
id_164,40.4144132115379
id_165,34.49391136167417
id_166,47.32166536971224
id_167,57.18916845281845
id_168,16.732405812083005
id_169,26.599908895189213
id_170,33.50716105336355
id_171,32.520410745052935
id_172,26.599908895189213
id_173,44.36141444478038
id_174,99.61943171017512
id_175,54.22891752788659
id_176,20.67940704532549
id_177,29.560159820121072
id_178,71.00367276916712
id_179,30.546910128431694
id_180,17.719156120393627
id_181,31.533660436742313
id_182,22.65290766194673
id_183,41.40116351984852
id_184,11.798654270529903
id_185,41.40116351984852
id_186,37.454162286606035
id_187,48.30841567802286
id_188,81.85792616058396
id_189,59.16266906943969
id_190,8.838403345598042
id_191,24.626408278567972
id_192,20.67940704532549
id_193,35.4806616699848
id_194,28.573409511810453
id_195,16.732405812083005
id_196,14.758905195461764
id_197,16.732405812083005
id_198,25.61315858687859
id_199,13.772154887151144
id_200,12.785404578840524
id_201,26.599908895189213
id_202,26.599908895189213
id_203,73.963923694099
id_204,-0.04234942919754303
id_205,20.67940704532549
id_206,67.05667153592465
id_207,50.281916294644105
id_208,22.65290766194673
id_209,30.546910128431694
id_210,47.32166536971224
id_211,36.46741197829542
id_212,34.49391136167417
id_213,2.9179014957343186
id_214,14.758905195461764
id_215,4.89140211235556
id_216,54.22891752788659
id_217,9.825153653908663
id_218,36.46741197829542
id_219,97.64593109355388
id_220,51.268666602954724
id_221,21.66615735363611
id_222,40.4144132115379
id_223,91.72542924369016
id_224,31.533660436742313
id_225,22.65290766194673
id_226,14.758905195461764
id_227,48.30841567802286
id_228,39.42766290322728
id_229,32.520410745052935
id_230,11.798654270529903
id_231,35.4806616699848
id_232,2.9179014957343186
id_233,32.520410745052935
id_234,62.12291999437155
id_235,23.63965797025735
id_236,16.732405812083005
id_237,14.758905195461764
id_238,18.705906428704246
id_239,35.4806616699848
id_240,24.626408278567972
id_241,76.92417461903085
id_242,39.42766290322728
id_243,31.533660436742313
id_244,57.18916845281845
id_245,37.454162286606035
id_246,47.32166536971224
id_247,46.334915061401624
id_248,24.626408278567972
id_249,6.8649027289768005
id_250,16.732405812083005
id_251,38.44091259491666
id_252,16.732405812083005
id_253,30.546910128431694
id_254,23.63965797025735
id_255,36.46741197829542
id_256,42.38791382815914
id_257,8.838403345598042
id_258,31.533660436742313
id_259,41.40116351984852
